,Year,Month,SID0,SID1,SID2,SID3,SID4,SID5,SID6,SID7,SID8,SID9,SID10,SID11,SID12,SID13,SID14,SID15,SID16,SID17,SID18,SID19,SID20,SID21,SID22,SID23,SID24,SID25,SID26,SID27,SID28,SID29,SID30,SID31,SID32,SID33,SID34,SID35,SID36,SID37,SID38,SID39,SID40,SID41,SID42,SID43,SID44,SID45,SID46,SID47,SID48,SID49,SID50,SID51,SID52,SID53,SID54,SID55,SID56,SID57,SID58,SID59,SID60,SID61,SID62,SID63,SID64,SID65,SID66,SID67,SID68,SID69
0,1997,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1997,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1997,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1997,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1997,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1997,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1997,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1997,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1997,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1997,10,0.15842665685026594,0.06060734322289968,0.19444878686546088,0.21031904160383363,0.23546272241859026,0.142608601640452,0.15098523134243994,0.19768779780526333,0.33827387386210056,0.0,0.3216085238724266,0.05296829338962464,0.5428833161668662,0.5416119758026853,0.5587403312027153,0.6403588621910575,0.5377464602421913,0.29517691841267996,0.35344210893729977,0.0,0.3766459669391324,0.5061757322961529,0.5002096117728962,0.41009467692244056,0.7946916938277578,0.37682487595115366,0.17919931624435595,0.5823211787575228,0.5759513086596791,0.6110765021800421,0.65064175342188,0.23670874911539047,0.5017291598660605,0.08081285093707485,0.0684757499256206,0.2473698265156715,0.0,0.5004032533019193,0.9701020266791041,0.33300271225186634,0.3040324628144919,0.5418596223057801,0.0,0.14268659137576806,0.5895571517181344,0.2384719342506085,0.0008253438980439345,0.03375625380949649,0.3398911302713029,0.05645872062386885,0.5193230446653755,0.07472142563016722,0.31448633053842273,0.2057072839040661,0.9032684123881012,0.0,0.23240468073822954,0.49939665271711065,0.1615909491318668,0.4210848087265085,0.542791886935568,0.07760612777310576,0.0982124364383184,0.38173848515379927,0.37936725003759236,0.07460091235720531,0.6290043105469181,0.44638551161752515,0.01652666225426935,0.2543985984913777
